Segment,Number of Speakers,Number of Speeches,Number of Speeches per Speaker
ES2012d_0010_0020,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0020_0030,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0030_0040,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0040_0050,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0050_0060,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0060_0070,2,2,"[1, 1, 0, 0, 0]"
ES2012d_0070_0080,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0080_0090,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0090_0100,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0100_0110,2,7,"[4, 3, 0, 0, 0]"
ES2012d_0110_0120,2,5,"[3, 2, 0, 0, 0]"
ES2012d_0120_0130,2,5,"[3, 2, 0, 0, 0]"
ES2012d_0130_0140,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0140_0150,2,7,"[4, 3, 0, 0, 0]"
ES2012d_0150_0160,3,17,"[8, 6, 3, 0, 0]"
ES2012d_0160_0170,2,5,"[3, 2, 0, 0, 0]"
ES2012d_0170_0180,3,4,"[2, 1, 1, 0, 0]"
ES2012d_0180_0190,3,7,"[3, 3, 1, 0, 0]"
ES2012d_0190_0200,2,6,"[3, 3, 0, 0, 0]"
ES2012d_0200_0210,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0210_0220,2,2,"[1, 1, 0, 0, 0]"
ES2012d_0220_0230,4,27,"[10, 9, 5, 3, 0]"
ES2012d_0230_0240,4,28,"[12, 12, 2, 2, 0]"
ES2012d_0240_0250,4,14,"[6, 5, 2, 1, 0]"
ES2012d_0250_0260,3,8,"[4, 3, 1, 0, 0]"
ES2012d_0260_0270,2,2,"[1, 1, 0, 0, 0]"
ES2012d_0270_0280,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0280_0290,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0290_0300,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0300_0310,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0310_0320,2,2,"[1, 1, 0, 0, 0]"
ES2012d_0320_0330,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0330_0340,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0340_0350,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0350_0360,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0360_0370,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0370_0380,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0380_0390,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0390_0400,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0400_0410,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0410_0420,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0420_0430,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0430_0440,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0440_0450,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0450_0460,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0460_0470,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0470_0480,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0480_0490,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0490_0500,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0500_0510,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0510_0520,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0520_0530,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0530_0540,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0540_0550,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0550_0560,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0560_0570,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0570_0580,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0580_0590,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0590_0600,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0600_0610,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0610_0620,2,4,"[2, 2, 0, 0, 0]"
ES2012d_0620_0630,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0630_0640,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0640_0650,4,11,"[4, 3, 2, 2, 0]"
ES2012d_0650_0660,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0660_0670,4,5,"[2, 1, 1, 1, 0]"
ES2012d_0670_0680,3,4,"[2, 1, 1, 0, 0]"
ES2012d_0680_0690,2,2,"[1, 1, 0, 0, 0]"
ES2012d_0690_0700,2,9,"[5, 4, 0, 0, 0]"
ES2012d_0700_0710,3,3,"[1, 1, 1, 0, 0]"
ES2012d_0710_0720,3,11,"[5, 4, 2, 0, 0]"
ES2012d_0720_0730,3,4,"[2, 1, 1, 0, 0]"
ES2012d_0730_0740,2,6,"[3, 3, 0, 0, 0]"
ES2012d_0740_0750,2,2,"[1, 1, 0, 0, 0]"
ES2012d_0750_0760,2,6,"[3, 3, 0, 0, 0]"
ES2012d_0760_0770,3,11,"[5, 4, 2, 0, 0]"
ES2012d_0770_0780,3,5,"[2, 2, 1, 0, 0]"
ES2012d_0780_0790,2,2,"[1, 1, 0, 0, 0]"
ES2012d_0790_0800,3,8,"[4, 2, 2, 0, 0]"
ES2012d_0800_0810,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0810_0820,3,6,"[2, 2, 2, 0, 0]"
ES2012d_0820_0830,2,2,"[1, 1, 0, 0, 0]"
ES2012d_0830_0840,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0840_0850,4,19,"[8, 6, 4, 1, 0]"
ES2012d_0850_0860,2,2,"[1, 1, 0, 0, 0]"
ES2012d_0860_0870,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0870_0880,3,3,"[1, 1, 1, 0, 0]"
ES2012d_0880_0890,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0890_0900,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0900_0910,1,1,"[1, 0, 0, 0, 0]"
ES2012d_0910_0920,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0920_0930,2,3,"[2, 1, 0, 0, 0]"
ES2012d_0930_0940,3,7,"[3, 3, 1, 0, 0]"
ES2012d_0940_0950,2,3,"[2, 1, 0, 0, 0]"
ES2013a_0020_0030,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0030_0040,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0040_0050,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0050_0060,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0080_0090,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0090_0100,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0100_0110,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0110_0120,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0120_0130,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0130_0140,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0140_0150,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0150_0160,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0160_0170,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0170_0180,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0180_0190,2,7,"[4, 3, 0, 0, 0]"
ES2013a_0190_0200,2,3,"[2, 1, 0, 0, 0]"
ES2013a_0200_0210,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0210_0220,2,1,"[1, 0, 0, 0, 0]"
ES2013a_0220_0230,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0230_0240,3,3,"[1, 1, 1, 0, 0]"
ES2013a_0240_0250,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0250_0260,2,5,"[3, 2, 0, 0, 0]"
ES2013a_0260_0270,2,3,"[2, 1, 0, 0, 0]"
ES2013a_0270_0280,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0280_0290,2,2,"[1, 1, 0, 0, 0]"
ES2013a_0290_0300,2,3,"[2, 1, 0, 0, 0]"
ES2013a_0300_0310,3,3,"[1, 1, 1, 0, 0]"
ES2013a_0310_0320,3,6,"[3, 2, 1, 0, 0]"
ES2013a_0320_0330,3,11,"[5, 3, 3, 0, 0]"
ES2013a_0330_0340,2,6,"[3, 3, 0, 0, 0]"
ES2013a_0340_0350,2,7,"[4, 3, 0, 0, 0]"
ES2013a_0350_0360,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0370_0380,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0380_0390,3,3,"[1, 1, 1, 0, 0]"
ES2013a_0390_0400,2,7,"[4, 3, 0, 0, 0]"
ES2013a_0400_0410,2,10,"[5, 5, 0, 0, 0]"
ES2013a_0410_0420,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0420_0430,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0430_0440,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0440_0450,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0450_0460,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0460_0470,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0470_0480,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0480_0490,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0490_0500,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0500_0510,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0510_0520,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0520_0530,2,3,"[2, 1, 0, 0, 0]"
ES2013a_0530_0540,2,3,"[2, 1, 0, 0, 0]"
ES2013a_0540_0550,2,2,"[1, 1, 0, 0, 0]"
ES2013a_0550_0560,2,6,"[3, 3, 0, 0, 0]"
ES2013a_0560_0570,2,3,"[2, 1, 0, 0, 0]"
ES2013a_0570_0580,2,5,"[3, 2, 0, 0, 0]"
ES2013a_0580_0590,2,3,"[2, 1, 0, 0, 0]"
ES2013a_0590_0600,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0600_0610,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0610_0620,2,12,"[6, 6, 0, 0, 0]"
ES2013a_0620_0630,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0630_0640,2,10,"[5, 5, 0, 0, 0]"
ES2013a_0640_0650,2,12,"[6, 6, 0, 0, 0]"
ES2013a_0650_0660,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0660_0670,3,3,"[1, 1, 1, 0, 0]"
ES2013a_0670_0680,3,12,"[6, 5, 1, 0, 0]"
ES2013a_0680_0690,2,2,"[1, 1, 0, 0, 0]"
ES2013a_0690_0700,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0700_0710,3,4,"[2, 1, 1, 0, 0]"
ES2013a_0710_0720,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0720_0730,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0730_0740,2,2,"[1, 1, 0, 0, 0]"
ES2013a_0740_0750,2,2,"[1, 1, 0, 0, 0]"
ES2013a_0750_0760,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0760_0770,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0770_0780,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0780_0790,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0790_0800,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0800_0810,1,1,"[1, 0, 0, 0, 0]"
ES2013a_0810_0820,3,1,"[1, 0, 0, 0, 0]"
ES2013a_0820_0830,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0000_0010,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0010_0020,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0020_0030,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0030_0040,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0040_0050,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0050_0060,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0060_0070,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0070_0080,3,4,"[2, 1, 1, 0, 0]"
ES2013b_0080_0090,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0090_0100,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0100_0110,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0110_0120,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0120_0130,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0130_0140,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0140_0150,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0150_0160,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0160_0170,2,6,"[3, 3, 0, 0, 0]"
ES2013b_0170_0180,2,4,"[2, 2, 0, 0, 0]"
ES2013b_0180_0190,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0190_0200,2,6,"[3, 3, 0, 0, 0]"
ES2013b_0200_0210,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0210_0220,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0220_0230,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0230_0240,3,5,"[2, 2, 1, 0, 0]"
ES2013b_0260_0270,2,3,"[2, 1, 0, 0, 0]"
ES2013b_0270_0280,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0280_0290,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0290_0300,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0300_0310,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0310_0320,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0320_0330,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0330_0340,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0340_0350,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0350_0360,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0360_0370,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0370_0380,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0380_0390,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0390_0400,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0400_0410,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0410_0420,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0420_0430,2,5,"[3, 2, 0, 0, 0]"
ES2013b_0430_0440,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0440_0450,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0450_0460,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0460_0470,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0470_0480,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0480_0490,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0490_0500,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0500_0510,2,3,"[2, 1, 0, 0, 0]"
ES2013b_0510_0520,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0520_0530,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0530_0540,2,8,"[4, 4, 0, 0, 0]"
ES2013b_0540_0550,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0550_0560,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0560_0570,2,6,"[3, 3, 0, 0, 0]"
ES2013b_0570_0580,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0580_0590,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0590_0600,2,8,"[4, 4, 0, 0, 0]"
ES2013b_0600_0610,2,6,"[3, 3, 0, 0, 0]"
ES2013b_0610_0620,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0620_0630,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0630_0640,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0640_0650,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0650_0660,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0660_0670,2,4,"[2, 2, 0, 0, 0]"
ES2013b_0670_0680,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0680_0690,2,6,"[3, 3, 0, 0, 0]"
ES2013b_0690_0700,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0700_0710,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0710_0720,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0720_0730,2,3,"[2, 1, 0, 0, 0]"
ES2013b_0730_0740,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0740_0750,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0750_0760,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0760_0770,2,6,"[3, 3, 0, 0, 0]"
ES2013b_0770_0780,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0780_0790,3,9,"[3, 3, 3, 0, 0]"
ES2013b_0790_0800,2,4,"[2, 2, 0, 0, 0]"
ES2013b_0800_0810,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0810_0820,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0820_0830,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0830_0840,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0840_0850,2,3,"[2, 1, 0, 0, 0]"
ES2013b_0850_0860,2,5,"[3, 2, 0, 0, 0]"
ES2013b_0860_0870,2,3,"[2, 1, 0, 0, 0]"
ES2013b_0870_0880,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0880_0890,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0890_0900,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0900_0910,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0910_0920,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0920_0930,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0930_0940,2,11,"[6, 5, 0, 0, 0]"
ES2013b_0940_0950,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0950_0960,2,3,"[2, 1, 0, 0, 0]"
ES2013b_0960_0970,1,1,"[1, 0, 0, 0, 0]"
ES2013b_0970_0980,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0980_0990,2,2,"[1, 1, 0, 0, 0]"
ES2013b_0990_1000,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1000_1010,3,5,"[2, 2, 1, 0, 0]"
ES2013b_1010_1020,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1020_1030,2,8,"[4, 4, 0, 0, 0]"
ES2013b_1030_1040,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1040_1050,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1050_1060,2,5,"[3, 2, 0, 0, 0]"
ES2013b_1060_1070,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1070_1080,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1090_1100,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1100_1110,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1110_1120,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1120_1130,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1130_1140,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1140_1150,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1150_1160,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1160_1170,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1170_1180,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1180_1190,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1190_1200,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1200_1210,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1210_1220,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1220_1230,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1230_1240,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1240_1250,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1250_1260,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1260_1270,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1270_1280,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1280_1290,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1290_1300,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1300_1310,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1310_1320,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1320_1330,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1330_1340,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1340_1350,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1350_1360,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1360_1370,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1370_1380,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1380_1390,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1390_1400,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1400_1410,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1410_1420,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1420_1430,3,7,"[4, 2, 1, 0, 0]"
ES2013b_1430_1440,3,10,"[4, 3, 3, 0, 0]"
ES2013b_1440_1450,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1450_1460,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1460_1470,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1470_1480,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1480_1490,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1490_1500,2,6,"[3, 3, 0, 0, 0]"
ES2013b_1500_1510,2,8,"[4, 4, 0, 0, 0]"
ES2013b_1510_1520,3,3,"[1, 1, 1, 0, 0]"
ES2013b_1520_1530,3,5,"[2, 2, 1, 0, 0]"
ES2013b_1530_1540,3,12,"[6, 3, 3, 0, 0]"
ES2013b_1540_1550,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1550_1560,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1560_1570,2,6,"[3, 3, 0, 0, 0]"
ES2013b_1570_1580,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1580_1590,2,8,"[4, 4, 0, 0, 0]"
ES2013b_1590_1600,3,22,"[9, 7, 6, 0, 0]"
ES2013b_1600_1610,3,3,"[1, 1, 1, 0, 0]"
ES2013b_1610_1620,2,12,"[6, 6, 0, 0, 0]"
ES2013b_1620_1630,2,4,"[2, 2, 0, 0, 0]"
ES2013b_1630_1640,3,12,"[6, 4, 2, 0, 0]"
ES2013b_1640_1650,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1650_1660,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1660_1670,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1670_1680,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1680_1690,4,13,"[5, 4, 3, 1, 0]"
ES2013b_1690_1700,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1700_1710,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1710_1720,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1720_1730,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1730_1740,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1740_1750,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1750_1760,3,3,"[1, 1, 1, 0, 0]"
ES2013b_1760_1770,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1770_1780,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1780_1790,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1790_1800,2,4,"[2, 2, 0, 0, 0]"
ES2013b_1800_1810,4,19,"[6, 5, 4, 4, 0]"
ES2013b_1810_1820,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1820_1830,2,4,"[2, 2, 0, 0, 0]"
ES2013b_1830_1840,3,7,"[4, 2, 1, 0, 0]"
ES2013b_1840_1850,2,5,"[3, 2, 0, 0, 0]"
ES2013b_1850_1860,2,7,"[4, 3, 0, 0, 0]"
ES2013b_1860_1870,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1870_1880,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1880_1890,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1890_1900,3,4,"[2, 1, 1, 0, 0]"
ES2013b_1900_1910,2,3,"[2, 1, 0, 0, 0]"
ES2013b_1910_1920,2,1,"[1, 0, 0, 0, 0]"
ES2013b_1920_1930,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1930_1940,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1940_1950,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1950_1960,2,1,"[1, 0, 0, 0, 0]"
ES2013b_1960_1970,2,2,"[1, 1, 0, 0, 0]"
ES2013b_1980_1990,1,1,"[1, 0, 0, 0, 0]"
ES2013b_1990_2000,2,2,"[1, 1, 0, 0, 0]"
ES2013b_2000_2010,3,11,"[6, 4, 1, 0, 0]"
ES2013b_2010_2020,1,1,"[1, 0, 0, 0, 0]"
ES2013b_2020_2030,1,1,"[1, 0, 0, 0, 0]"
ES2013b_2030_2040,1,1,"[1, 0, 0, 0, 0]"
ES2013b_2040_2050,1,1,"[1, 0, 0, 0, 0]"
ES2013b_2050_2060,3,5,"[3, 1, 1, 0, 0]"
ES2013b_2060_2070,3,4,"[2, 1, 1, 0, 0]"
ES2013b_2070_2080,3,12,"[6, 4, 2, 0, 0]"
ES2013b_2080_2090,2,4,"[2, 2, 0, 0, 0]"
ES2013b_2090_2100,3,6,"[3, 2, 1, 0, 0]"
ES2013b_2100_2110,3,4,"[2, 1, 1, 0, 0]"
ES2013b_2110_2120,2,2,"[1, 1, 0, 0, 0]"
ES2013b_2120_2130,4,4,"[1, 1, 1, 1, 0]"
ES2013c_0050_0060,2,6,"[3, 3, 0, 0, 0]"
ES2013c_0060_0070,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0070_0080,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0080_0090,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0090_0100,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0100_0110,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0110_0120,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0120_0130,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0130_0140,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0140_0150,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0150_0160,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0160_0170,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0170_0180,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0180_0190,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0190_0200,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0200_0210,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0210_0220,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0220_0230,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0230_0240,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0240_0250,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0250_0260,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0260_0270,2,3,"[2, 1, 0, 0, 0]"
ES2013c_0270_0280,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0280_0290,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0290_0300,2,3,"[2, 1, 0, 0, 0]"
ES2013c_0300_0310,2,5,"[3, 2, 0, 0, 0]"
ES2013c_0310_0320,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0320_0330,1,1,"[1, 0, 0, 0, 0]"
ES2013c_0330_0340,2,2,"[1, 1, 0, 0, 0]"
